ilan_no;baslik;fiyat;konut_tipi;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;konum;url
129504-1236;Satılık Daire - Ankara / Çankaya / Emek Mah.;13800000;Satılık Daire;3 +                          1;160;3. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;İlhanlar Gayrimenkul;15.02.2026;Ankara / Çankaya / Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-satilik/daire/129504-1236
80334-957;Satılık Daire - Ankara / Sincan / Atatürk Mah.;3650000;Satılık Daire;3 +                          1;125;Ara Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Hedef Emlak;15.02.2026;Ankara / Sincan / Atatürk Mah.;https://www.hepsiemlak.com/ankara-sincan-ataturk-satilik/daire/80334-957
129057-479;Satılık Daire - Ankara / Altındağ / Aydınlıkevler Mah.;4475000;Satılık Daire;3 +                          1;100;Giriş Katı;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Hoşcan Emlak;15.02.2026;Ankara / Altındağ / Aydınlıkevler Mah.;https://www.hepsiemlak.com/ankara-altindag-aydinlikevler-satilik/daire/129057-479
113784-2165;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;4769000;Satılık Daire;3 +                          1;145;2. Kat;12;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/113784-2165
15111-577;Satılık Daire - Ankara / Çankaya / İlkadım Mah.;7950000;Satılık Daire;3 +                          1;130;3. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Hg Gayrimenkul;15.02.2026;Ankara / Çankaya / İlkadım Mah.;https://www.hepsiemlak.com/ankara-cankaya-ilkadim-satilik/daire/15111-577
15111-514;Satılık Daire - Ankara / Çankaya / Güvenevler Mah.;6500000;Satılık Daire;2 +                          1;100;4. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Hg Gayrimenkul;15.02.2026;Ankara / Çankaya / Güvenevler Mah.;https://www.hepsiemlak.com/ankara-cankaya-guvenevler-satilik/daire/15111-514
165500-37;Satılık Daire - Ankara / Sincan / Plevne Mah.;2524000;Satılık Daire;3 +                          1;115;Yüksek Giriş;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Köksal Grup Emlak;14.02.2026;Ankara / Sincan / Plevne Mah.;https://www.hepsiemlak.com/ankara-sincan-plevne-satilik/daire/165500-37
36851-34272;Satılık Daire - Ankara / Çankaya / Metin Akkuş Mah.;2990000;Satılık Daire;2 +                          1;95;Kot 1;27;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;Levent Emlak;15.02.2026;Ankara / Çankaya / Metin Akkuş Mah.;https://www.hepsiemlak.com/ankara-cankaya-metin-akkus-satilik/daire/36851-34272
130170-440;Satılık Daire - Ankara / Mamak / Cengizhan Mah.;6145000;Satılık Daire;3 +                          1;160;1. Kat;8;Kombi (Doğalgaz);Kat Mülkiyeti;1;10;Evet;Boş;Kale Gayrimenkul;15.02.2026;Ankara / Mamak / Cengizhan Mah.;https://www.hepsiemlak.com/ankara-mamak-cengizhan-satilik/daire/130170-440
130170-491;Satılık Daire - Ankara / Mamak / Akşemsettin Mah.;4449000;Satılık Daire;2 +                          1;90;9. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;15;Evet;Boş;Kale Gayrimenkul;15.02.2026;Ankara / Mamak / Akşemsettin Mah.;https://www.hepsiemlak.com/ankara-mamak-aksemsettin-satilik/daire/130170-491
113784-2150;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;4389000;Satılık Daire;3 +                          1;140;2. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/113784-2150
113784-2151;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;11499000;Satılık Daire;4 +                          1;210;3. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;18;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/113784-2151
113784-2112;Satılık Daire - Ankara / Keçiören / Etlik Mah.;3979000;Satılık Daire;3 +                          1;140;3. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;6;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Etlik Mah.;https://www.hepsiemlak.com/ankara-kecioren-etlik-satilik/daire/113784-2112
113784-1866;Satılık Daire - Ankara / Keçiören / Ayvalı Mah.;3749000;Satılık Daire;3 +                          1;135;1. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-satilik/daire/113784-1866
113784-2128;Satılık Daire - Ankara / Keçiören / Ayvalı Mah.;5349000;Satılık Daire;3 +                          1;170;1. Kat;4;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-satilik/daire/113784-2128
113784-2146;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;9149000;Satılık Daire;3 +                          1;160;21 ve üzeri;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;30;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/113784-2146
113784-1739;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;2549000;Satılık Daire;3 +                          1;125;Zemin;4;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/113784-1739
113784-2159;Satılık Daire - Ankara / Keçiören / Etlik Mah.;5495000;Satılık Daire;3 +                          1;145;3. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Etlik Mah.;https://www.hepsiemlak.com/ankara-kecioren-etlik-satilik/daire/113784-2159
113784-2163;Satılık Daire - Ankara / Keçiören / Etlik Mah.;6950000;Satılık Daire;3 +                          1;145;4. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;13;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Etlik Mah.;https://www.hepsiemlak.com/ankara-kecioren-etlik-satilik/daire/113784-2163
113784-2055;Satılık Daire - Ankara / Keçiören / Ayvalı Mah.;5499000;Satılık Daire;3 +                          1;135;1. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-satilik/daire/113784-2055
113784-1939;Satılık Daire - Ankara / Keçiören / Esertepe Mah.;3899000;Satılık Daire;3 +                          1;135;1. Kat;12;Kombi (Doğalgaz);Kat Mülkiyeti;1;-;Evet;Boş;Cadde Park Emlak;-;Ankara / Keçiören / Esertepe Mah.;https://www.hepsiemlak.com/ankara-kecioren-esertepe-satilik/daire/113784-1939
11065-2102;Satılık Daire - Ankara / Çankaya / Bağcılar Mah.;10500000;Satılık Daire;5 +                          0;320;En Üst Kat;26;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;Öneri Emlak;15.02.2026;Ankara / Çankaya / Bağcılar Mah.;https://www.hepsiemlak.com/ankara-cankaya-bagcilar-satilik/daire/11065-2102
11065-2108;Satılık Daire - Ankara / Çankaya / Ayrancı Mah.;7000000;Satılık Daire;3 +                          1;125;3. Kat;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Öneri Emlak;15.02.2026;Ankara / Çankaya / Ayrancı Mah.;https://www.hepsiemlak.com/ankara-cankaya-ayranci-satilik/daire/11065-2108
130244-835;Satılık Daire - Ankara / Sincan / Plevne Mah.;1899000;Satılık Daire;3 +                          1;130;Bahçe Katı;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Es-as Emlak;15.02.2026;Ankara / Sincan / Plevne Mah.;https://www.hepsiemlak.com/ankara-sincan-plevne-satilik/daire/130244-835
145771-413;Satılık Daire - Ankara / Etimesgut / Atayurt Mah.;5890000;Satılık Daire;4 +                          1;192;6. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;14;Evet;Boş;Turyap Yapracık;15.02.2026;Ankara / Etimesgut / Atayurt Mah.;https://www.hepsiemlak.com/ankara-etimesgut-atayurt-satilik/daire/145771-413
145771-402;Satılık Daire - Ankara / Etimesgut / Atayurt Mah.;3830000;Satılık Daire;2 +                          1;85;1. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;16;Evet;Boş;Turyap Yapracık;15.02.2026;Ankara / Etimesgut / Atayurt Mah.;https://www.hepsiemlak.com/ankara-etimesgut-atayurt-satilik/daire/145771-402
40304-1501;Satılık Daire - Ankara / Keçiören / Pınarbaşı Mah.;4230000;Satılık Daire;3 +                          1;135;2. Kat;21;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Emlak Pınarı Gayrimenkul;14.02.2026;Ankara / Keçiören / Pınarbaşı Mah.;https://www.hepsiemlak.com/ankara-kecioren-pinarbasi-satilik/daire/40304-1501
40304-1475;Satılık Daire - Ankara / Keçiören / Bağlarbaşı Mah.;4350000;Satılık Daire;5 +                          1;214;3. Kat;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Emlak Pınarı Gayrimenkul;14.02.2026;Ankara / Keçiören / Bağlarbaşı Mah.;https://www.hepsiemlak.com/ankara-kecioren-baglarbasi-satilik/daire/40304-1475
56007-3180;Satılık Daire - Ankara / Çankaya / İlkbahar Mah.;5900000;Satılık Daire;3 +                          1;125;Yüksek Giriş;26;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Kaçmaz Emlak Çankaya Temsilciliği;14.02.2026;Ankara / Çankaya / İlkbahar Mah.;https://www.hepsiemlak.com/ankara-cankaya-ilkbahar-satilik/daire/56007-3180
28888-1900;Satılık Daire - Ankara / Etimesgut / Bağlıca Mah.;11250000;Satılık Daire;4 +                          1;185;8. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;13;Evet;Boş;Irmak Emlak Yapracık;14.02.2026;Ankara / Etimesgut / Bağlıca Mah.;https://www.hepsiemlak.com/ankara-etimesgut-baglica-satilik/daire/28888-1900
56007-3178;Satılık Daire - Ankara / Çankaya / Güvenevler Mah.;3750000;Satılık Daire;3 +                          1;100;Bahçe Katı;40;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Kaçmaz Emlak Çankaya Temsilciliği;14.02.2026;Ankara / Çankaya / Güvenevler Mah.;https://www.hepsiemlak.com/ankara-cankaya-guvenevler-satilik/daire/56007-3178
5116-2038;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;9600000;Satılık Daire;4 +                          1;240;2. Kat;3;Kombi (Doğalgaz);Kat Mülkiyeti;1;27;Evet;Boş;Zirwe Yatırım Gayrimenkul;14.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/5116-2038
5116-2031;Satılık Daire - Ankara / Keçiören / Sancaktepe Mah.;4800000;Satılık Daire;3 +                          1;130;3. Kat;4;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Zirwe Yatırım Gayrimenkul;14.02.2026;Ankara / Keçiören / Sancaktepe Mah.;https://www.hepsiemlak.com/ankara-kecioren-sancaktepe-satilik/daire/5116-2031
132472-1793;Satılık Daire - Ankara / Mamak / Diriliş Mah.;5000000;Satılık Daire;2 +                          1;85;7. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;7;Evet;Boş;Ankalife Gayrimenkul;14.02.2026;Ankara / Mamak / Diriliş Mah.;https://www.hepsiemlak.com/ankara-mamak-dirilis-satilik/daire/132472-1793
130170-500;Satılık Daire - Ankara / Mamak / Zirvekent Mah.;2489000;Satılık Daire;2 +                          1;90;10. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;12;Evet;Boş;Kale Gayrimenkul;14.02.2026;Ankara / Mamak / Zirvekent Mah.;https://www.hepsiemlak.com/ankara-mamak-zirvekent-satilik/daire/130170-500
37733-997;Satılık Daire - Ankara / Mamak / General Zeki Doğan Mah.;3700000;Satılık Daire;3 +                          1;155;En Üst Kat;18;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Turkuaz Gayrimenkul;14.02.2026;Ankara / Mamak / General Zeki Doğan Mah.;https://www.hepsiemlak.com/ankara-mamak-general-zeki-dogan-satilik/daire/37733-997
123025-409;Satılık Daire - Ankara / Etimesgut / Yeşilova Mah.;6250000;Satılık Daire;2 +                          1;80;9. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;9;Evet;Boş;Toprak Emlak İnşaat;14.02.2026;Ankara / Etimesgut / Yeşilova Mah.;https://www.hepsiemlak.com/ankara-etimesgut-yesilova-satilik/daire/123025-409
113784-2133;Satılık Daire - Ankara / Keçiören / Etlik Mah.;1575000;Satılık Daire;Stüdyo;55;Zemin;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Cadde Park Emlak;14.02.2026;Ankara / Keçiören / Etlik Mah.;https://www.hepsiemlak.com/ankara-kecioren-etlik-satilik/daire/113784-2133
113784-2152;Satılık Daire - Ankara / Keçiören / Ayvalı Mah.;5389000;Satılık Daire;3 +                          1;135;4. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Cadde Park Emlak;14.02.2026;Ankara / Keçiören / Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-satilik/daire/113784-2152
159524-327;Satılık Daire - Ankara / Çubuk / Yenice Mah.;1990000;Satılık Daire;1 +                          1;55;Zemin;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Remax Nest;14.02.2026;Ankara / Çubuk / Yenice Mah.;https://www.hepsiemlak.com/ankara-cubuk-yenice-satilik/daire/159524-327
166354-3;Satılık Daire - Ankara / Keçiören / İncirli Mah.;3189000;Satılık Daire;2 +                          1;100;Kot 1;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Işık Gayrimenkul;12.02.2026;Ankara / Keçiören / İncirli Mah.;https://www.hepsiemlak.com/ankara-kecioren-incirli-satilik/daire/166354-3
2759-658;Satılık Villa - Ankara / Etimesgut / Yeni Bağlıca Mah.;17450000;Satılık Villa;4 +                          1;300;Bahçe Katı;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;Özdoğan Grup Gayrimenkul;14.02.2026;Ankara / Etimesgut / Yeni Bağlıca Mah.;https://www.hepsiemlak.com/ankara-etimesgut-yeni-baglica-satilik/villa/2759-658
142879-89;Satılık Daire - Ankara / Altındağ / Karapürçek Mah.;6600000;Satılık Daire;4 +                          1;157;4. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;14;Evet;Boş;Nk Gayrimenkul;15.02.2026;Ankara / Altındağ / Karapürçek Mah.;https://www.hepsiemlak.com/ankara-altindag-karapurcek-satilik/daire/142879-89
4480-25735;Satılık Daire - Ankara / Pursaklar / Fatih Mah.;4390000;Satılık Daire;2 +                          1;105;7. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;7;Evet;Boş;Düzgün Emlak;14.02.2026;Ankara / Pursaklar / Fatih Mah.;https://www.hepsiemlak.com/ankara-pursaklar-fatih-satilik/daire/4480-25735
113784-1970;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;10950000;Satılık Daire;4 +                          1;245;8. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;16;Evet;Boş;Cadde Park Emlak;13.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/113784-1970
113784-2013;Satılık Daire - Ankara / Keçiören / Etlik Mah.;6149000;Satılık Daire;3 +                          1;150;13. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;13;Evet;Boş;Cadde Park Emlak;13.02.2026;Ankara / Keçiören / Etlik Mah.;https://www.hepsiemlak.com/ankara-kecioren-etlik-satilik/daire/113784-2013
113784-2129;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;5899000;Satılık Daire;3 +                          1;145;5. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Cadde Park Emlak;13.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/113784-2129
28244-193;Satılık Villa - Ankara / Gölbaşı / Ballıkpınar Mah.;21500000;Satılık Villa;6 +                          1;400;;19;Kombi (Doğalgaz);Kat Mülkiyeti;1;1;Evet;Boş;Ata Emlak;14.02.2026;Ankara / Gölbaşı / Ballıkpınar Mah.;https://www.hepsiemlak.com/ankara-golbasi-ballikpinar-satilik/villa/28244-193
4380-12284;Satılık Daire - Ankara / Yenimahalle / Mehmet Akif Ersoy Mah.;5250000;Satılık Daire;1 +                          1;50;1. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;14;Evet;Boş;Polat Emlak;1.02.2026;Ankara / Yenimahalle / Mehmet Akif Ersoy Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-mehmet-akif-ersoy-satilik/daire/4380-12284
165977-1;Satılık Villa - Ankara / Altındağ / Gicik Mah.;18800000;Satılık Villa;8 +                          2;300;;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;Tuğra Gayrimenkul Altınova;14.02.2026;Ankara / Altındağ / Gicik Mah.;https://www.hepsiemlak.com/ankara-altindag-gicik-satilik/villa/165977-1
83304-3423;Satılık Daire - Ankara / Keçiören / Kavacık Subayevleri Mah.;9500000;Satılık Daire;3 +                          1;130;1. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Adn Özcan Emlak;14.02.2026;Ankara / Keçiören / Kavacık Subayevleri Mah.;https://www.hepsiemlak.com/ankara-kecioren-kavacik-subayevleri-satilik/daire/83304-3423
2244-1542;Satılık Daire - Ankara / Yenimahalle / Gazi Mah.;9830000;Satılık Daire;3 +                          1;142;Yüksek Giriş;12;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Yalçınkaya İnşaat & Emlak;3.02.2026;Ankara / Yenimahalle / Gazi Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-gazi-satilik/daire/2244-1542
3584-29199;Satılık Daire - Ankara / Çankaya / Bahçelievler Mah.;10700000;Satılık Daire;2 +                          1;95;3. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Anadolu Emlak;14.02.2026;Ankara / Çankaya / Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-satilik/daire/3584-29199
3584-29175;Satılık Daire - Ankara / Çankaya / Bahçelievler Mah.;7500000;Satılık Daire;1 +                          1;50;2. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Anadolu Emlak;14.02.2026;Ankara / Çankaya / Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-satilik/daire/3584-29175
165407-7;Satılık Daire - Ankara / Sincan / Mustafa Kemal Mah.;3590000;Satılık Daire;2 +                          1;105;5. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Taşkınlar Gayrimenkul;13.02.2026;Ankara / Sincan / Mustafa Kemal Mah.;https://www.hepsiemlak.com/ankara-sincan-mustafa-kemal-satilik/daire/165407-7
35785-3066;Satılık Daire - Ankara / Keçiören / İncirli Mah.;3890000;Satılık Daire;3 +                          1;125;2. Kat;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Eren Efe Emlak;11.02.2026;Ankara / Keçiören / İncirli Mah.;https://www.hepsiemlak.com/ankara-kecioren-incirli-satilik/daire/35785-3066
35785-3052;Satılık Daire - Ankara / Keçiören / İncirli Mah.;4790000;Satılık Daire;3 +                          1;135;2. Kat;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;-;Evet;Boş;Eren Efe Emlak;-;Ankara / Keçiören / İncirli Mah.;https://www.hepsiemlak.com/ankara-kecioren-incirli-satilik/daire/35785-3052
4542-1479;Satılık Daire - Ankara / Etimesgut / Topçu Mah.;2850000;Satılık Daire;3 +                          1;140;Kot 1;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Grand Alaca Gayrimenkul;13.02.2026;Ankara / Etimesgut / Topçu Mah.;https://www.hepsiemlak.com/ankara-etimesgut-topcu-satilik/daire/4542-1479
113784-2065;Satılık Daire - Ankara / Keçiören / Ayvalı Mah.;4865000;Satılık Daire;3 +                          1;145;2. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Cadde Park Emlak;13.02.2026;Ankara / Keçiören / Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-satilik/daire/113784-2065
5837-6412;Satılık Daire - Ankara / Yenimahalle / Emniyet Mah.;5200000;Satılık Daire;1 +                          1;45;Kot 1;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;06 Burak Emlak İnşaat LTD.ŞTİ.;13.02.2026;Ankara / Yenimahalle / Emniyet Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-emniyet-satilik/daire/5837-6412
141924-805;Satılık Daire - Ankara / Yenimahalle / Çarşı Mah.;3850000;Satılık Daire;3 +                          1;130;Kot 1;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Rek Emlak Yatırım;13.02.2026;Ankara / Yenimahalle / Çarşı Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-carsi-satilik/daire/141924-805
154097-92;Satılık Daire - Ankara / Etimesgut / Ahi Mesut Mah.;7600000;Satılık Daire;4 +                          1;155;2. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Evgör Ankara Gayrimenkul;14.02.2026;Ankara / Etimesgut / Ahi Mesut Mah.;https://www.hepsiemlak.com/ankara-etimesgut-ahi-mesut-satilik/daire/154097-92
162390-18;Satılık Daire - Ankara / Sincan / 29 Ekim Mah.;4259000;Satılık Daire;3 +                          1;135;Ara Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Eraslan İnşaat Emlak;13.02.2026;Ankara / Sincan / 29 Ekim Mah.;https://www.hepsiemlak.com/ankara-sincan-29-ekim-satilik/daire/162390-18
119658-145;Satılık Daire - Ankara / Çankaya / Naci Çakır Mah.;3920000;Satılık Daire;3 +                          1;95;Kot 1;26;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;-;13.02.2026;Ankara / Çankaya / Naci Çakır Mah.;https://www.hepsiemlak.com/ankara-cankaya-naci-cakir-satilik/daire/119658-145
1910-894;Satılık Daire - Ankara / Yenimahalle / Ostim OSB Mah.;6950000;Satılık Daire;3 +                          1;140;9. Kat;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;10;Evet;Boş;Ankara Life Gayrimenkul;13.02.2026;Ankara / Yenimahalle / Ostim OSB Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-ostim-osb-satilik/daire/1910-894
126490-2265;Satılık Daire - Ankara / Yenimahalle / Susuz Mah.;8300000;Satılık Daire;4 +                          1;175;Yüksek Giriş;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;16;Evet;Boş;Hakan Zengin Gayrimenkul;13.02.2026;Ankara / Yenimahalle / Susuz Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-susuz-satilik/daire/126490-2265
3584-29213;Satılık Daire - Ankara / Çankaya / Bahçelievler Mah.;6600000;Satılık Daire;3 +                          1;115;2. Kat;40;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Anadolu Emlak;13.02.2026;Ankara / Çankaya / Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-satilik/daire/3584-29213
4757-2522;Satılık Daire - Ankara / Çankaya / Bahçelievler Mah.;12500000;Satılık Daire;3 +                          1;110;En Üst Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Bahçe Emlak;13.02.2026;Ankara / Çankaya / Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-satilik/daire/4757-2522
4757-2475;Satılık Daire - Ankara / Çankaya / Yukarı Bahçelievler Mah.;8250000;Satılık Daire;3 +                          1;120;3. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Bahçe Emlak;13.02.2026;Ankara / Çankaya / Yukarı Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-satilik/daire/4757-2475
130244-818;Satılık Daire - Ankara / Etimesgut / Bağlıca Mah.;13650000;Satılık Daire;4 +                          1;180;10. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;17;Evet;Boş;Es-as Emlak;8.02.2026;Ankara / Etimesgut / Bağlıca Mah.;https://www.hepsiemlak.com/ankara-etimesgut-baglica-satilik/daire/130244-818
2759-667;Satılık Daire - Ankara / Akyurt / Balıkhisar Mah.;4995000;Satılık Daire;2 +                          1;85;2. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;12;Evet;Boş;Özdoğan Grup Gayrimenkul;13.02.2026;Ankara / Akyurt / Balıkhisar Mah.;https://www.hepsiemlak.com/ankara-akyurt-balikhisar-satilik/daire/2759-667
43014-3414;Satılık Daire - Ankara / Çankaya / İlkbahar Mah.;13550000;Satılık Daire;3 +                          1;172;17. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;24;Evet;Boş;Yaşarkent Gayrimenkul;12.02.2026;Ankara / Çankaya / İlkbahar Mah.;https://www.hepsiemlak.com/ankara-cankaya-ilkbahar-satilik/daire/43014-3414
43014-3522;Satılık Daire - Ankara / Çankaya / Oran Mah.;17250000;Satılık Daire;2 +                          1;110;5. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;6;Evet;Boş;Yaşarkent Gayrimenkul;12.02.2026;Ankara / Çankaya / Oran Mah.;https://www.hepsiemlak.com/ankara-cankaya-oran-satilik/daire/43014-3522
152587-76;Satılık Daire - Ankara / Gölbaşı / Eymir Mah.;5900000;Satılık Daire;2 +                          1;90;Yüksek Giriş;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Restore Zen Gayrimenkul;12.02.2026;Ankara / Gölbaşı / Eymir Mah.;https://www.hepsiemlak.com/ankara-golbasi-eymir-satilik/daire/152587-76
