ilan_no;kategori;fiyat;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;ilce;mahalle;url
56708-1005;Kiralık;46500;1 +                              1;45;10. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;17 Katlı;Evet;Boş;Gönül Kılıçman Gayrimenkul Danışmanlık;2026/04/26;Çankaya;Alacaatlı Mah.;https://www.hepsiemlak.com/ankara-cankaya-alacaatli-kiralik/daire/56708-1005
23739-2823;Kiralık;23000;3 +                              1;110;Yüksek Giriş;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;5 Katlı;Evet;Boş;Akademi Emlak;2026/05/05;Çankaya;Umut Mah.;https://www.hepsiemlak.com/ankara-cankaya-umut-kiralik/daire/23739-2823
4537-11599;Kiralık;37500;1 +                              1;45;Giriş Katı;38;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Borsem Kuleli Temsilciliği;2026/05/04;Çankaya;Kazım Özalp Mah.;https://www.hepsiemlak.com/ankara-cankaya-kazim-ozalp-kiralik/daire/4537-11599
144788-55;Kiralık;22500;2 +                              1;80;1. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Ertürk Emlak;2026/05/04;Etimesgut;Piyade Mah.;https://www.hepsiemlak.com/ankara-etimesgut-piyade-kiralik/daire/144788-55
692109-154;Kiralık;11750;1 +                              1;45;Yüksek Giriş;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Alıcılar Gayrimenkul;2026/04/29;Çubuk;Dumlupınar Mah.;https://www.hepsiemlak.com/ankara-cubuk-dumlupinar-kiralik/daire/692109-154
6664-2553;Kiralık;145000;6 +                              1;320;;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Er Emlak;2026/04/29;Etimesgut;Yeni Bağlıca Mah.;https://www.hepsiemlak.com/ankara-etimesgut-yeni-baglica-kiralik/villa/6664-2553
36856-4975;Kiralık;26000;3 +                              1;110;Giriş Katı;28;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Soylu Gayrimenkul;2026/05/11;Çankaya;Harbiye Mah.;https://www.hepsiemlak.com/ankara-cankaya-harbiye-kiralik/daire/36856-4975
9089-3356;Kiralık;27000;3 +                              1;120;3. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Çankaya Gayrimenkul;2026/05/11;Çankaya;İlkadım Mah.;https://www.hepsiemlak.com/ankara-cankaya-ilkadim-kiralik/daire/9089-3356
159380-266;Kiralık;22000;3 +                              1;125;3. Kat;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Hayal Emlak;2026/05/11;Keçiören;Çaldıran Mah.;https://www.hepsiemlak.com/ankara-kecioren-caldiran-kiralik/daire/159380-266
15487-2924;Kiralık;26000;3 +                              1;120;2. Kat;14;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/11;Etimesgut;Atakent Mah.;https://www.hepsiemlak.com/ankara-etimesgut-atakent-kiralik/daire/15487-2924
